    <DEBUG 0:0:31>: 	Start Program
<SQLQUERY 0:3:880>: 	SELECT * FROM `customer` WHERE `email`='test'
   <DEBUG 0:4:110>: 	Customer(this,is,test,tester,city,NC,42069,*****);
<SQLQUERY 0:4:110>: 	SELECT * FROM `customer` WHERE `email`='test'
   <DEBUG 0:4:151>: 	Customer(this,is,test,tester,city,NC,42069,*****);
<SQLQUERY 0:4:154>: 	SELECT encryptPassword('*****')
<SQLQUERY 0:8:421>: 	CALL getOrdersFromCustomer('test')
<SQLQUERY 0:8:432>: 	SELECT * FROM `computers` WHERE `serialNumber` = 10
<SQLQUERY 0:8:445>: 	SELECT * FROM `cpu` WHERE `part number` = 1437
<SQLQUERY 0:8:458>: 	SELECT * FROM `fan` WHERE `part number` = 1578
<SQLQUERY 0:8:469>: 	SELECT * FROM `graphicscard` WHERE `part number` = 1178
<SQLQUERY 0:8:480>: 	SELECT * FROM `memory` WHERE `part number` = 1589
<SQLQUERY 0:8:496>: 	SELECT * FROM `motherboard` WHERE `part number` = 1729
<SQLQUERY 0:8:506>: 	SELECT * FROM `pc case` WHERE `part number` = 1227
<SQLQUERY 0:8:517>: 	SELECT * FROM `powersupply` WHERE `part number` = 1305
<SQLQUERY 0:8:553>: 	SELECT * FROM `storage` WHERE `part number` = 1002
<SQLQUERY 0:8:592>: 	SELECT * FROM `employee` WHERE `email` = 'josh@uncw.edu'
   <DEBUG 0:8:602>: 	Employee(Josh,Humphrey,josh@uncw.edu,*****);
<SQLQUERY 0:8:602>: 	SELECT * FROM `customer` WHERE `email`='test'
   <DEBUG 0:8:610>: 	Customer(this,is,test,tester,city,NC,42069,*****);
<SQLQUERY 0:18:470>: 	SELECT encryptPassword('*****')
<SQLQUERY 0:18:483>: 	UPDATE `customer` SET `password` = '4f352a15ddea1d68adc598164e6dd0c53785516e' WHERE `customer`.`email` = test;
  <ERROR 0:18:492>: 	Unknown column 'test' in 'where clause'
  <DEBUG 0:22:528>: 	Finished Program
